id,type,section,topic,page,qno,stem,A,B,C,D,answer,year,meta,source_file
q_552e766d81e7,mcq,,分词,14.0,6,The interviewer should take down notes at the moment the person ______ answers the questions.,to be interviewed,interviewing,being interviewed,interviewed,C,1997.0,（答案：C）（1997年33题）,练习题整理.txt
q_a36df83a2886,mcq,,分词,14.0,7,"Standing on the bank, the children watched the ship ______ with all kinds of goods.",loading,being loaded,to be loaded,having loaded,B,2000.0,（答案：B）（2000年23题）,练习题整理.txt
q_c10eacb0fafc,mcq,,分词,14.0,8,"Arriving at the bus stop, ______ waiting there.",he found a lot of people,a lot of people were,he found a lot of people’s,people were found,A,1996.0,（答案：A）（1996年37题）,练习题整理.txt
q_73e954277613,mcq,,分词,14.0,9,"______ tired after a hard work, she fell into bed and went straight to sleep.",Felt,Feeling,Being felt,To feel,B,1998.0,（答案：B）（1998年50题）,练习题整理.txt
q_fbcfde6ece4a,mcq,,分词,14.0,10,"The plane crashed, its bombs ______ as it hit the ground.",exploded,were exploded,exploding,were exploding,C,1999.0,（答案：C）（1999年43题）,练习题整理.txt
q_253899dc5d44,mcq,,分词,14.0,11,He walked across the meeting room ______ everyone looking at her.,with,as,while,when,A,1997.0,（答案：A）（1997年49题）,练习题整理.txt
q_f922359d2294,mcq,,分词,14.0,12,"With the old man ______ the way, we had no trouble in finding that mysterious cave.",leading,led,lead,to be led,A,2000.0,（答案：A）（2000年27题）,练习题整理.txt
q_553acdb266f4,mcq,,分词,15.0,13,______ was unimportant.,Whether he enjoyed our dinner or not,No matter how he enjoyed our dinner,If he enjoyed our dinner,What he enjoyed our dinner,A,2000.0,（答案：A）（2000年40题）,练习题整理.txt
q_cd155c7a0eae,mcq,,分词,15.0,14,______ I saw was two men crossing the street.,What,Whom,Who,That,A,2001.0,（答案：A）（2001年38题）,练习题整理.txt
q_2e8540b285ed,mcq,,分词,15.0,15,______ was not the way the event happened.,Which the press reported,That the press reported,what did the press report,What the press reported,D,1998.0,（答案：D）（1998年24题）,练习题整理.txt
q_6a5448aa9af6,mcq,,分词,15.0,16,It’s urgent that a meeting ______ before the final decision is made.,will be arranged,must be arranged,be arranged,would be arranged,C,2003.0,（答案：C）（2003年45题）,练习题整理.txt
q_1a6700a13795,mcq,,分词,15.0,17,It is highly desirable that a new president ______ for this university.,is appointed,will be appointed,be appointed,has been appointed,C,1997.0,（答案：C）（1997年52题）,练习题整理.txt
q_d2cfdd995715,mcq,,分词,15.0,18,The general’s command was that the soldiers ______ their fort and carry out more important tasks.,would leave,leave,left,have left,B,2002.0,（答案：B）（2002年48题）,练习题整理.txt
q_7eff6f594980,mcq,,分词,15.0,19,Can you tell me ______ about the city that makes people love it so much?,it is what,what it is,what is it,is it what,B,1999.0,（答案：B）（1999年47题）,练习题整理.txt
q_1da044d4bfa7,mcq,,分词,15.0,20,No one doubts ______ it is true.,whether,if,that,what,C,1997.0,（答案：C）（1997年38题）,练习题整理.txt
q_a01bb9c518dc,mcq,,分词,15.0,21,The people at the party were worried about Janet because no one was aware ______ she had gone.,where that,of where,of the place,the place,B,1998.0,（答案：B）（1998年48题）,练习题整理.txt
q_247d7e2074fe,mcq,,分词,15.0,22,He was a man of fine character in all points ______ he was rather timid.,in that,except that,for that,except for,B,1997.0,（答案：B）（1997年53题）,练习题整理.txt
q_5d72ce850552,mcq,,分词,15.0,23,The company official ______ I thought would be fired received a raise.,whom,whoever,who,of whom,A,1998.0,（答案：A）（1998年40题）,练习题整理.txt
q_0e63c854bd01,mcq,,分词,15.0,24,"The investigation, ______ will soon be published, was made by John.",at which the results,the results on which,whose results,at whose results,C,1998.0,（答案：C）（1998年58题）,练习题整理.txt
q_4fe086905867,mcq,,分词,15.0,25,The time will come ______ man can fly to outer space freely.,that,when,in that,which,B,1996.0,（答案：B）（1996年35题）,练习题整理.txt
q_b9205c047e95,mcq,,分词,15.0,26,I will never forget the ten years ______ we both spent in the little village.,when,during which,which,in which,A,2001.0,（答案：A）（2001年54题）,练习题整理.txt
q_1834174484c7,mcq,,分词,15.0,27,"Before her marriage, she spent a considerable time in that very part of Shanghai, ______ she belonged.",which,to where,to which,at which,C,1998.0,（答案：C）（1998年56题）,练习题整理.txt
q_bc846aaeef9c,mcq,,分词,15.0,28,"The United States is composed of fifty states, two of ______ are separated from the others by land or water.",them,that,which,those,C,2003.0,（答案：C）（2003年23题）,练习题整理.txt
q_560a9ae694cd,mcq,,分词,18.0,29,No sooner had they got the goods covered up ______ it started raining hard.,when,than,then,after,B,2002.0,（答案：B）（2002年57题）,练习题整理.txt
q_2060354a28f6,mcq,,分词,18.0,30,She has wanted to become a nurse ______ since she was a young girl.,long,often,always,ever,D,1997.0,（答案：D）（1997年56题）,练习题整理.txt
q_7b49c4da9e93,mcq,,分词,18.0,31,"______ I’m mistaken, I’ve seen that man before.",Unless,If,Because,Provided,A,2001.0,（答案：A）（2001年40题）,练习题整理.txt
q_678cc3cfbcfc,mcq,,分词,18.0,32,______ you return those books to the library immediately you will have to pay a fine.,Until,Unless,If,Provided,B,1998.0,（答案：B）（1998年60题）,练习题整理.txt
q_44b66504b6cd,mcq,,分词,18.0,33,"In short, ______ he lives, a man belongs to some society.",whatever,whenever,whichever,wherever,D,1997.0,（答案：D）（1997年44题）,练习题整理.txt
q_24b8e2d871b7,mcq,,分词,18.0,34,______ you must show your ticket to go into the cinema.,No matter whoever you are,Whomever you are,Whoever you are,No matter who are you,C,1997.0,（答案：C）（1997年59题）,练习题整理.txt
q_8062705fc5c9,mcq,,分词,18.0,35,"______ you disagree with her, her idea is still worth considering.",Even if,If only,Instead of,Despite of,A,1998.0,（答案：A）（1998年44题）,练习题整理.txt
q_5adea2dc40fb,mcq,,分词,18.0,36,"Young ______ he is, he knows what is the right thing to do.",that,as,although,however,B,2000.0,（答案：B）（2000年44题）,练习题整理.txt
q_0b4d0325cc0c,mcq,,分词,18.0,37,"______ was pointed above, this substance can be used as a substitute.",It,That,What,As,D,1999.0,（答案：D）（1999年32题）,练习题整理.txt
q_c7da9b233cc0,mcq,,分词,18.0,38,I wrote it down ______ I should forget it.,in case,in case of,in order that,for fear of,A,2002.0,（答案：A）（2002年27题）,练习题整理.txt
q_3346de721dfc,mcq,,分词,18.0,39,They are ______ students that they all performed well in the nationwide examinations.,so diligent,such diligent,so much diligent,such very diligent,B,2002.0,（答案：B）（2002年43题）,练习题整理.txt
q_4a25c13ac051,mcq,,分词,19.0,40,When and where the new hospital will be built ______ a mystery.,to remain,remains,remain,is remaining,B,2000.0,（答案：B）（2000年57题）,练习题整理.txt
q_73f8799d7bef,mcq,,分词,19.0,41,A number of cars ______ in front of my house.,was parked,were parking,is parking,are parked,D,,（答案：D）,练习题整理.txt
q_6ae8e9161196,mcq,,分词,20.0,42,Not until I reminded him for the third time ______ working and looked up.,that he stopped,does he stopped,did he stop,that he stopped,C,2000.0,（答案：C）（2000年53题）,练习题整理.txt
q_bdc4dba3e047,mcq,,分词,20.0,43,______ the importance of wearing seat belts while driving.,Little they realize,They little do realize,Little realize do they,Little do they realize,D,1996.0,（答案：D）（1996年31题）,练习题整理.txt
q_7202f0fab0b4,mcq,,分词,20.0,44,So little ______ about stock exchange that the lecture was completely beyond me.,did I know,I had known,I knew,was I know,A,1998.0,（答案：A）（1998年30题）,练习题整理.txt
q_7e098d709573,mcq,,分词,20.0,45,"I didn’t finish reading that French book, neither ______.",did he,didn’t he,he did,he could,A,,（答案：A）,练习题整理.txt
q_3e5b952c67cf,mcq,,分词,20.0,46,"______ you were busy, I wouldn’t have bothered you with my questions.",If I realized,Had I realized,Did I have realized that,As I realized,B,1996.0,（答案：B）（1996年39题）,练习题整理.txt
q_81965a155386,mcq,,分词,20.0,47,"______, I should ask them some questions.",Should they come to us,If they come to us,Were they come to us,Had they come to us,A,1997.0,（答案：A）（1997年30题）,练习题整理.txt
q_ee4f86da8d81,mcq,,分词,21.0,48,It was in that small room ______ they worked hard and dreamed of better days to come.,where,in which,which,that,D,1997.0,（答案：D）（1997年58题）,练习题整理.txt
q_6ba5fca241fc,mcq,,分词,21.0,49,It is because she is very devoted to her students ______ she is respected by them.,that,which,what,who,A,2001.0,（答案：A）（2001年58题）,练习题整理.txt
q_f59b1a546aa1,mcq,,分词,22.0,1,It was not until she arrived in class ______ realized she had forgotten her book.,and she,when,she,that she,D,,（答案：D）,练习题整理.txt
q_2dcace59bb4b,mcq,,附加疑问句,22.0,2,"He had to finish the work yesterday, ______?",hadn’t he,had he,didn’t he,did he,C,,（答案：C）,练习题整理.txt
q_079f643e4c49,mcq,,附加疑问句,22.0,3,"There won’t be any concert this Saturday evening, ______?",will there not,will there,is there,will it be,B,,（答案：B）,练习题整理.txt
q_6e5cc56cd1bb,mcq,,附加疑问句,22.0,4,"She scarcely cares for anything, ______?",doesn’t,does she,is she,isn’t she,B,1995.0,（答案：B）（1995年45题）,练习题整理.txt
q_f2acf8788162,mcq,,附加疑问句,22.0,5,"You never told me you have seen the film, ______?",had you,didn’t you,did you,weren’t you,C,2002.0,（答案：C）（2002年53题）,练习题整理.txt
q_640b72f6db75,mcq,,附加疑问句,22.0,6,"Please let us have more time, ______?",shall we,will you,won’t you,don’t you,B,1997.0,（答案：B）（1997年23题）,练习题整理.txt
q_4a35ea566ecf,mcq,,附加疑问句,22.0,7,"Don’t forget to write to me, ______?",do you,won’t you,are,will you,D,1994.0,（答案：D）（1994年37题）,练习题整理.txt
q_38467e24aa4e,mcq,,附加疑问句,22.0,8,"I suppose you’re not serious, ______?",don’t I,do I,are you,aren’t you,C,1996.0,（答案：C）（1996年57题）,练习题整理.txt
q_7f69a91d400c,mcq,,附加疑问句,22.0,9,"I don’t think you’ve heard of him before, ______?",don’t I,do I,have you,haven’t you,C,1992.0,（答案：C）（1992年33题）,练习题整理.txt
q_4b8b7e6c9e69,mcq,,名词,23.0,10,The ______ of the play is so great that many people want to see it.,attention,attraction,attempt,attack,B,2001.0,（答案：B）（2001年21题）,练习题整理.txt
q_824f65d7d0d1,mcq,,名词,23.0,11,"He has been teaching for 2 years, but being a teacher is not his ______.",chance,character,attitude,choice,D,2001.0,（答案：D）（2001年25题）,练习题整理.txt
q_1cc79b802068,mcq,,名词,23.0,12,Your sister has made an ______ for you to see the dentist at 3 this afternoon.,appointment,interview,opportunity,assignment,A,2002.0,（答案：A）（2002年24题）,练习题整理.txt
q_37c29acc6210,mcq,,名词,23.0,13,The committee is expected to ______ a decision this evening.,reach,arrive,bring,take,A,2002.0,（答案：A）（2002年25题）,练习题整理.txt
q_bd593c6ffca3,mcq,,名词,23.0,14,"Sorry, I don’t know he is a friend of ______.",your brother,your brothers,your brother’s friend,your brother’s,D,2001.0,（答案：D）（2001年56题）,练习题整理.txt
q_e11734d874a5,mcq,,名词,23.0,15,Don’t you know he is an old friend of ______?,my brother,my brothers,my brother’s,my brother’s friend,C,1999.0,（答案：C）（1999年60题）,练习题整理.txt
q_dc397c427f80,mcq,,名词,24.0,16,This is a very ______ situation and we don’t know how to face it yet.,comprehensive,compound,complicated,competent,C,2001.0,（答案：C）（2001年26题）,练习题整理.txt
q_653e78aa4648,mcq,,名词,24.0,17,One car went too fast and ______ missed hitting another car.,completely,greatly,narrowly,little,C,1998.0,（答案：C）（1998年35题）,练习题整理.txt
q_863ecb5efcdf,mcq,,名词,24.0,18,My next door neighbor Johnson seems to have ______ opinion on the show last night.,rather the strong,rather strong,a rather strong,the rather strong,C,2000.0,（答案：C）（2000年60题）,练习题整理.txt
q_ff6aa1b02b96,mcq,,名词,24.0,20,He was ______ an honest man that everybody trusted him.,so,as,such,very,C,,（答案：C）,练习题整理.txt
q_35be0b686ca9,mcq,,名词,24.0,21,He was ______ fat that he couldn’t get through the door.,so,how,such,much,A,,（答案：A）,练习题整理.txt
q_8b77bd8149d0,mcq,,名词,24.0,22,Written applications should be sent to us in case ______ some problems with the electric version.,there will be,there is,there be,there was,C,2002.0,（答案：C）（2002年59题）,练习题整理.txt
q_2ec0f3433739,mcq,,名词,24.0,25,"Before joining the army, he spent a lot of time in the village ______ he belonged.",to which,which,to where,which,A,2001.0,（答案：A）（2001年31题）,练习题整理.txt
q_7751ef3d9717,other,PDF,名词,26.0,1,"Clerk: Please fill out the form. Guest: All right. , please? Clerk: It's August, the thirteenth.",What day is it today B. What's the number,,,,,,,练习题整理.txt
q_8e07c7181c36,mcq,PDF,倒装虚拟句,26.0,3,"Had the weather been good, the children ______ out for a walk.",had gone,could have gone,would go,went,B,,（答案：B）,练习题整理.txt
q_7f179023694b,mcq,PDF,倒装虚拟句,26.0,4,"Mary said to me, “Had I seen your bag, I ______ it to you.”",will return,must return,could return,would have returned,D,,（答案：D）,练习题整理.txt
q_2e5e06968cd6,mcq,PDF,倒装虚拟句,26.0,5,"______ the advice of his friends, he would not have suffered such a heavy loss in his business.",If he took,If he should take,Were he to take,Had he taken,D,,（答案：D）,练习题整理.txt
q_95898f39531e,mcq,PDF,倒装虚拟句,26.0,6,"I would have told him about the change of time for the class, ______ to class last time.",did he come,he came,had he come,he had come,C,,（答案：C）,练习题整理.txt
q_5b17e5d19f78,mcq,PDF,含蓄虚拟句（without）,26.0,7,"Without your help, we ______ so much.",didn’t achieve,would not have achieved,will not achieve,don’t achieve,B,,（答案：B）,练习题整理.txt
q_93e1e2b5b2f2,mcq,PDF,含蓄虚拟句（without）,26.0,8,"Without heat and sunlight, plants on the earth ______ well.",would not grow,will not grow,had not grown,would not be grown,A,,（答案：A）,练习题整理.txt
q_50d6590d15f8,mcq,PDF,含蓄虚拟句（without）,26.0,9,"Without the air to hold some of the sun’s heat, the earth at night ______ too cold for us to live.",would be freezing cold,will be freezing cold,would be frozen cold,can freeze cold,A,,（答案：A）,练习题整理.txt
q_293cdb909c17,mcq,PDF,含蓄虚拟句（without）,26.0,10,Without electricity human life ______ quite different today.,is,will be,would have been,would be,D,,（答案：D）,练习题整理.txt
q_be19668f0a80,mcq,PDF,But for 结构,26.0,11,"But for the rain, we ______ a nice holiday.",should have,would have had,would have,will have had,B,,（答案：B）,练习题整理.txt
q_bf06b203a716,mcq,PDF,But for 结构,26.0,12,"But for my classmates’ help, I ______ the work in time.",did not finish,could not finish,will not finish,would not have finished,D,,（答案：D）,练习题整理.txt
q_273b6ad49177,mcq,PDF,But for 结构,26.0,13,"______ the storm, the ship would have reached its destination on time.",In spite of,In case of,But for,Because of,C,,（答案：C）,练习题整理.txt
q_8c2c6f65c7d9,mcq,PDF,跳层虚拟句,26.0,14,He was very busy yesterday; otherwise he ______ to the meeting.,would have come,would come,could come,had come,A,,（答案：A）,练习题整理.txt
q_2ef95a5c0a7b,mcq,PDF,跳层虚拟句,26.0,15,"I would have told him the answer had it been possible, but I ______ so busy then.",am,were,was,would be,C,,（答案：C）,练习题整理.txt
q_765563e5d0bb,mcq,PDF,跳层虚拟句,26.0,16,"I would have joined him in a picnic, but I ______ his company.",will not like,don’t like,had not liked,might not like,C,,（答案：C）,练习题整理.txt
q_45ae827c49c4,mcq,PDF,跳层虚拟句,26.0,17,We didn’t know his telephone number; otherwise we ______ him.,had telephoned,must have telephoned,would telephone,would have telephoned,D,,（答案：D）,练习题整理.txt
q_49240b20d11a,mcq,PDF,混合时间虚拟句,26.0,18,"If you ______ that late movie last night, you wouldn’t be so sleepy.",hadn’t watched,haven’t watched,wouldn’t have watched,didn’t watch,A,,（答案：A）,练习题整理.txt
q_8f9bd2584e9d,mcq,PDF,混合时间虚拟句,26.0,19,"If I hadn’t stood under the ladder to catch you when you fell, you ______ now.",wouldn’t be smiling,couldn’t have smiled,won’t smile,didn’t smile,A,,（答案：A）,练习题整理.txt
q_da39959d49ed,mcq,PDF,目的状语从句（in case / lest）,26.0,22,The mad man was put in the padded cell lest he ______ himself.,injure,had injured,injured,would injure,A,,（答案：A）,练习题整理.txt
q_b35e0eb5e0ce,mcq,PDF,目的状语从句（in case / lest）,26.0,23,He was punished ______ he should make the same mistake again.,unless,provided,if,lest,D,,（答案：D）,练习题整理.txt
q_90fb6ff48493,mcq,PDF,目的状语从句（in case / lest）,26.0,24,We booked rooms at the hotel ______ we should find no vacancies on our arrival.,whenever,if,since,lest,D,,（答案：D）,练习题整理.txt
q_7e4ddb8bd295,mcq,PDF,wish 从句,26.0,25,I wish you ______ to me before you went and bought that car.,spoke,will speak,were going to speak,had spoken,D,,（答案：D）,练习题整理.txt
q_9c8a009e1d83,mcq,PDF,wish 从句,26.0,26,Peter wishes that he ______ law instead of literature when he was in college.,could study,studied,had studied,would study,C,,（答案：C）,练习题整理.txt
q_04c2bbee11fa,mcq,PDF,wish 从句,26.0,27,"I didn’t go to the party, but I do wish I ______ there.",were,would be,had been,will be,C,,（答案：C）,练习题整理.txt
q_e2c68fde3666,mcq,PDF,wish 从句,26.0,28,"—Did you see her off the day before yesterday? —No, but I wish I ______.",were,did,had,would,C,,（答案：C）,练习题整理.txt
q_462dfe1f8c83,mcq,PDF,wish 从句,26.0,29,Jack wishes that he ______ business instead of history when he was in university.,studied,study,had been studying,had studied,D,,（答案：D）,练习题整理.txt
q_3cf78f9cad65,mcq,PDF,as if,26.0,30,He talks as if he ______ everything in the world.,knows,knew,had known,would have known,B,,（答案：B）,练习题整理.txt
q_368b1a3aa37d,mcq,PDF,as if,26.0,31,"When a pencil is partly in a glass of water, it looks as if it ______.",breaks,has broken,were broken,had been broken,C,,（答案：C）,练习题整理.txt
q_75ee64f372b2,mcq,PDF,It’s high time,26.0,32,It’s high time we ______ something to stop traffic accidents.,do,will do,did,must do,C,,（答案：C）,练习题整理.txt
q_7820ae321bcc,mcq,PDF,It’s high time,26.0,33,Don’t you think it is time you ______ smoking?,give up,gave up,would give up,should give up,B,,（答案：B）,练习题整理.txt
q_d68f1940fe23,mcq,PDF,It’s high time,26.0,34,Let’s finish our homework in a few seconds; it’s time we ______.,played football,will play football,play football,are playing football,A,,（答案：A）,练习题整理.txt
q_97bdf0809b1d,mcq,PDF,It’s high time,26.0,35,You have stayed at home for two days. It’s time you ______ for a walk.,go out,went out,will go out,would go out,B,,（答案：B）,练习题整理.txt
q_dd138604319f,mcq,PDF,would rather,26.0,36,"I’d ______ you didn’t touch that, if you don’t mind.",rather,better,happier,further,A,,（答案：A）,练习题整理.txt
q_715a28686d81,mcq,PDF,would rather,26.0,37,I am too busy these days. I would rather all of you ______ next month for a dinner.,come,would come,came,have come,C,,（答案：C）,练习题整理.txt
q_2adebb25c875,mcq,PDF,would rather,26.0,38,She says she’d rather he ______ tomorrow instead of today.,leaves,left,leave,would leave,B,,（答案：B）,练习题整理.txt
q_241195699a14,mcq,PDF,would rather,26.0,39,You don’t have to be in such a hurry; I would rather you ______ on business first.,would go,will go,went,have gone,C,,（答案：C）,练习题整理.txt
q_a8e9bd66ffff,mcq,PDF,would rather,26.0,40,I’d rather you ______ make any comment on the issue for the time being.,don’t,wouldn’t,didn’t,shouldn’t,C,,（答案：C）,练习题整理.txt
q_db03ebd1eb9f,mcq,PDF,would rather,26.0,41,Wouldn’t you rather your child ______ to be early?,go,went,would go,goes,B,,（答案：B）,练习题整理.txt
q_ad3fddbc6650,mcq,PDF,would rather,26.0,42,The manager would rather his daughter ______ in the same office.,had not worked,not to work,does not work,did not work,D,,（答案：D）,练习题整理.txt
q_2bd79d81e7ca,mcq,PDF,would rather,26.0,43,"Who would you rather ______ with you, George or me?",going,to go,have gone,went,B,,（答案：B）,练习题整理.txt
q_353306a0e60b,mcq,PDF,非谓语动词（不定式）,26.0,45,The magnificent museum is said ______ about a hundred years ago.,to be built,to have been built,to have built,to have being built,B,,（答案：B）,练习题整理.txt
q_3a4a49f3e702,mcq,PDF,非谓语动词（不定式）,26.0,46,The famous novel is said ______ into Chinese.,to have translated,to be translated,to have been translated,to translate,C,,（答案：C）,练习题整理.txt
q_49bd3a31da1f,mcq,PDF,非谓语动词（不定式）,26.0,47,"“Good-bye, Miss Liu. I’m very pleased ______.”",to meet you,to have met you,meeting you,having met you,B,,（答案：B）,练习题整理.txt
q_89fd67c28a37,mcq,PDF,非谓语动词（不定式）,26.0,48,The ability ______ is very important for any speaker.,to hear clearly,to be clearly heard,hearing clearly,to being clearly heard,B,,（答案：B）,练习题整理.txt
q_b1abe1729bb8,mcq,PDF,非谓语动词（不定式）,26.0,49,The question ______ at the meeting tomorrow is very important.,to discuss,being discussed,to be discussed,will be discussed,C,,（答案：C）,练习题整理.txt
q_ebf9e9e83512,mcq,PDF,非谓语动词（不定式）,26.0,50,"Having a trip abroad is certainly good for the old couple, but it remains ______ whether they will enjoy it.",to see,to be seen,seeing,seen,B,,（答案：B）,练习题整理.txt
q_aede88a2a2f8,mcq,PDF,其他选择题,26.0,51,Mrs. Brown is supposed ______ for Italy last week.,to have left,to be leaving,to leave,to have been left,A,,（答案：A）,练习题整理.txt
q_d04641f85e06,mcq,PDF,其他选择题,26.0,52,The bank is reported in the local newspaper ______ in broad daylight yesterday.,being robbed,having been robbed,to have been robbed,robbed,C,,（答案：C）,练习题整理.txt
q_0a7d87b61152,mcq,PDF,其他选择题,26.0,53,"As a public relations officer, he is said ______ some very influential people.",to know,to be knowing,to have been knowing,to have known,D,,（答案：D）,练习题整理.txt
q_4fc8764ef7d3,mcq,PDF,其他选择题,26.0,54,AIDS is said ______ the biggest health challenge to both men and women in that area over the past few years.,that it is,to be,that it has been,to have been,D,,（答案：D）,练习题整理.txt
q_11e9d4bee74b,mcq,PDF,其他选择题,26.0,55,"Robert is said ______ abroad, but I don’t know what country he studied in.",to have studied,to study,to be studying,to have been studying,A,,（答案：A）,练习题整理.txt
q_ec3b50b580ba,mcq,PDF,其他选择题,26.0,56,Energy drinks are not allowed ______ in Australia but are brought in from New Zealand.,to make,to be made,to have been made,to be making,B,,（答案：B）,练习题整理.txt
q_1bf5df1c345f,mcq,PDF,其他选择题,26.0,57,I’d rather read than watch television; the programs seem ______ all the time.,to get worse,to be getting worse,to have got worse,getting worse,B,,（答案：B）,练习题整理.txt
